Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
2023-02-21 22:59:07,,UTC-05:00,58,51,54,35.20,96.54,,,,,2023-02-21 22:59:07,2023-02-22 05:39:30,78,15.5,366,406,245,74,47,40,469,0,90
2023-02-20 23:46:08,2023-02-21 22:59:07,UTC-05:00,89,49,62,34.60,97.00,2.9,1611,115,56,2023-02-20 23:46:08,2023-02-21 10:41:45,100,15.5,562,655,439,93,30,93,471,0,85
2023-02-19 23:09:10,2023-02-20 23:46:08,UTC-05:00,88,49,62,34.80,97.34,5.9,1720,130,60,2023-02-19 23:09:10,2023-02-20 10:34:05,100,15.4,575,684,368,118,89,109,487,12,85
2023-02-18 23:51:42,2023-02-19 23:09:10,UTC-05:00,72,52,55,34.80,97.17,8.4,1757,137,64,2023-02-18 23:51:42,2023-02-19 09:11:11,96,15.8,530,589,309,154,67,59,553,49,91
2023-02-17 22:33:06,2023-02-18 23:51:42,UTC-05:00,86,49,60,35.14,96.67,14.9,2640,157,67,2023-02-17 22:33:06,2023-02-18 05:58:34,79,16.2,374,445,272,68,34,71,471,0,86
2023-02-16 22:52:48,2023-02-17 22:33:06,UTC-05:00,96,49,68,34.40,97.52,5.5,1547,131,60,2023-02-16 22:52:48,2023-02-17 10:40:48,100,15.9,608,707,473,91,44,99,474,0,87
2023-02-15 23:45:59,2023-02-16 22:52:48,UTC-05:00,91,52,58,35.00,96.80,7.5,1774,130,62,2023-02-15 23:45:59,2023-02-16 10:33:54,100,15.6,552,647,400,118,34,95,478,0,87
2023-02-14 22:15:33,2023-02-15 23:45:59,UTC-05:00,85,51,55,34.40,97.08,9.4,2100,143,64,2023-02-14 22:15:33,2023-02-15 10:32:36,100,15.6,625,737,462,121,42,112,491,12,84
2023-02-14 00:33:17,2023-02-14 22:15:33,UTC-05:00,73,51,51,34.76,97.84,10.0,1864,151,63,2023-02-14 00:33:17,2023-02-14 10:40:50,96,15.5,562,607,448,89,25,45,585,114,94
2023-02-13 00:11:41,2023-02-14 00:33:17,UTC-05:00,25,58,35,34.87,97.64,4.8,1362,123,64,2023-02-13 00:11:41,2023-02-13 04:35:41,51,15.8,242,263,158,47,37,21,470,0,91
