Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-02-21 22:59:07,,UTC-05:00,2023-02-22 09:59:28,2023-02-22 10:45:48,46,Weightlifting,4.9,93.0,116,93,34,63,2,0,0,false,,,
2023-02-21 22:59:07,,UTC-05:00,2023-02-22 07:34:34,2023-02-22 08:55:46,81,Tennis,11.9,588.0,148,123,6,15,27,50,0,false,,,
2023-02-19 23:09:10,2023-02-20 23:46:08,UTC-05:00,2023-02-20 12:34:02,2023-02-20 14:45:06,131,Weightlifting,5.8,228.0,130,91,43,49,6,0,0,false,,,
2023-02-18 23:51:42,2023-02-19 23:09:10,UTC-05:00,2023-02-19 11:52:24,2023-02-19 13:52:52,120,Weightlifting,7.4,314.0,137,100,16,65,17,0,0,false,,,
2023-02-17 22:33:06,2023-02-18 23:51:42,UTC-05:00,2023-02-18 15:01:24,2023-02-18 16:40:04,98,Tennis,14.4,904.0,157,134,0,4,20,70,3,false,,,
2023-02-15 23:45:59,2023-02-16 22:52:48,UTC-05:00,2023-02-16 12:32:42,2023-02-16 14:31:17,118,Weightlifting,7.1,296.0,130,97,22,65,11,0,0,false,,,
2023-02-14 22:15:33,2023-02-15 23:45:59,UTC-05:00,2023-02-15 13:17:41,2023-02-15 15:36:57,139,Weightlifting,8.7,440.0,141,101,16,59,22,1,0,false,,,
2023-02-14 00:33:17,2023-02-14 22:15:33,UTC-05:00,2023-02-14 12:39:41,2023-02-14 14:19:55,100,Weightlifting,9.9,477.0,151,109,16,29,37,16,0,false,,,
2023-02-13 00:11:41,2023-02-14 00:33:17,UTC-05:00,2023-02-13 12:43:58,2023-02-13 14:25:25,101,Weightlifting,4.8,151.0,123,83,74,21,4,0,0,false,,,
2023-02-09 22:52:30,2023-02-11 01:29:38,UTC-05:00,2023-02-10 16:36:59,2023-02-10 18:22:33,105,Tennis,13.2,782.0,159,127,0,12,34,48,5,false,,,
2023-02-09 22:52:30,2023-02-11 01:29:38,UTC-05:00,2023-02-10 12:18:51,2023-02-10 14:52:59,154,Weightlifting,8.7,454.0,141,103,17,50,29,2,0,false,,,
2023-02-08 00:22:35,2023-02-08 23:59:35,UTC-05:00,2023-02-08 12:14:46,2023-02-08 22:27:38,612,Weightlifting,7.6,910.0,133,75,74,12,4,0,0,false,,,
